"Join_Count,N,10,0","TARGET_FID,N,10,0","JOIN_FID,N,10,0","globalid,C,254","CreationDa,D","Creator,C,254","EditDate,D","Editor,C,254","Facade_Mas,N,19,11","Window_Con,N,19,11","Paint_Cond,N,19,11","Garden_Con,N,19,11","Shed,C,254","is_there_a,C,254","Additional,C,254","SymbolID,C,20","Block_ID,N,19,11","Block_Name,C,254"
1,88,18,65bf1ea9-e618-4a0c-816f-31c5aae12e5b,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,4,5,4,No,,,,3240.207,E 207th & Decatur
1,89,31,7033faf0-d1f1-4b0a-8b5e-88177dd3f166,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3130.204,204th & Decatur
1,90,29,b8a88160-10f7-4088-8852-6b6b3076a8ea,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,Building has evidently been filled with sealent,,3190.205,205th & Decatur
1,91,32,a2fc1345-61cc-42a4-8bb4-c7aa12ba92fd,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,3,0,0,No,,,,3120.2041,204th & Hull
1,92,25,5e6c1674-67ef-4e6a-80b3-4eb571801883,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,3,0,0,No,,,,3190.2051,205th & Hull
1,93,25,7ccbba64-a61e-4014-8c7c-4c4bad510873,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,5,5,4,No,,Looks like a new home,,3190.2051,205th & Hull
1,94,98,3e268cf5-6490-4cce-8cb8-e8b6f111a26d,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,3,4,3,No,,,,100.5,E Mosholu Parkway N & Bainbridge
1,95,98,ad0981b9-7131-4e43-82c1-c2d700e0ba62,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,3,0,3,No,,,,100.5,E Mosholu Parkway N & Bainbridge
1,96,97,ef600e62-f26d-4c63-80b6-e1f4fbef6408,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,4,0,2,No,,Well maintained exterior and decorative structures at the entrance,,3130.101,Rochambeau & Bainbridge
1,97,97,66d662db-fd6a-4f99-8dda-414ec60b4aa3,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,0,No,,,,3130.101,Rochambeau & Bainbridge
1,98,97,ca857d05-72d0-48e0-8cad-bcc62cff744f,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,0,0,No,,,,3130.101,Rochambeau & Bainbridge
1,99,97,921e28fd-5a1b-468a-8b0c-6eebbd6d2a1a,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,3,0,0,No,,,,3130.101,Rochambeau & Bainbridge
1,100,41,84552d10-06ac-496d-89b9-756aad1d8aee,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,5,0,0,No,,,,3160.206,206th & Rochambeau
1,101,41,f03ba8af-3abc-4523-899f-77ce4a720fce,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,2,3,0,2,No,,,,3160.206,206th & Rochambeau
1,102,41,dacd9eb1-a1d3-478b-8453-5d9dfcfa32c0,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,4,0,5,No,,,,3160.206,206th & Rochambeau
1,103,41,1717cfc1-da6e-4446-8118-bdf1f504bb10,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,0,No,,,,3160.206,206th & Rochambeau
1,104,41,8cd2a330-77d8-4107-8c52-6f7c78be6960,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,0,5,No,,,,3160.206,206th & Rochambeau
1,105,41,5d40618b-0074-45e7-8b36-edee6cb4a548,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,3,4,0,4,No,,,,3160.206,206th & Rochambeau
1,106,41,79b883d0-b406-435c-83a8-4f9e3d211caf,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,3,0,No,,,,3160.206,206th & Rochambeau
1,107,41,81dc61cd-1f7c-4ff5-8778-ff4265770990,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,0,No,,,,3160.206,206th & Rochambeau
1,108,41,98658366-f4aa-4015-87d2-73e0ff11ffce,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,5,5,4,No,,,,3160.206,206th & Rochambeau
1,109,41,f36fd0bf-5554-4877-815c-08bed5e98364,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,3,3,No,,,,3160.206,206th & Rochambeau
1,110,41,b491ac34-12ec-4511-8ff6-fd0d1cf61ce1,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,5,4,0,0,No,,,,3160.206,206th & Rochambeau
1,111,41,3b091981-18dd-4cab-8f83-c20179d99c64,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,2,4,0,4,No,,,,3160.206,206th & Rochambeau
1,112,41,633a489e-4713-4332-833f-3c9360c53010,04/16/2022,ar8618_Bard1,04/16/2022,ar8618_Bard1,4,4,4,0,No,,,,3160.206,206th & Rochambeau
